SMILES,MP,MolLogP,TPSA
C1(CCC1)C,-161.51,1.8064,0.0
[O-][N+]#N,-90.8,0.33728,51.209999999999994
FS(F)(=O)=O,-135.8,0.17020000000000013,34.14
CC(C)N(CCC(c1ccccn1)(c2ccccc2)C(N)=O)C(C)C,94.8,3.361900000000001,59.220000000000006
BrBr,-7.2,1.6912,0.0
O=C(O)C2=CN(CC)c1c(F)c(c(F)cc1C2=O)N3CC(C)NCC3,239.75,1.7958999999999998,74.57
CN(C)C,-117.0,0.17779999999999996,3.24
ClC(Cl)(Cl)Cl,-23.0,2.5529,0.0
II,113.5,1.7714,0.0
C#C,-80.8,0.24939999999999998,0.0
CC(Cl)Cl,-97.0,1.81,0.0
CC(CO)(CO)[N+](=O)[O-],150.0,-0.9936,83.6
c1cc(sc1)Cl,-72.0,2.4015000000000004,0.0
CCCOC(=O)CC,-76.0,1.3496000000000001,26.3
CC(=C)OC(=O)C,-93.0,1.0831,26.3
CCCOC=O,-93.0,0.5694,26.3
Cc1c(cc(cc1[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O,80.0,1.7196200000000006,129.42000000000002
CCc1cccc(CC)c1,-84.0,2.811400000000001,0.0
CC(=CCCC(=O)C)C,-67.0,2.3218000000000005,17.07
CC(C)C(C)(C)CC,-101.0,3.0786000000000016,0.0
CC(C)(CC)CCC,-126.0,3.2227000000000023,0.0
CC(C)(C)CCCC,-121.0,3.2227000000000023,0.0
C=C(C)C(C)(C)C,-110.0,2.608600000000001,0.0
CC(C)C(CC)CC,-115.0,3.0786000000000016,0.0
CCSCCCC,-95.0,2.539600000000001,0.0
Cc1ccc(CC)cc1C,-67.0,2.8658400000000013,0.0
CC(CC)(CC)CC,-91.0,3.2227000000000023,0.0
CC(C)CC(C)C(C)C,-128.0,3.324600000000002,0.0
CC(C)CCCC(C)C,-103.0,3.468700000000003,0.0
CC=1CCCCC=1C,-84.0,2.8968000000000016,0.0
CCCC1CCCCC1,-95.0,3.3668000000000022,0.0
C(=C(Cl)Cl)(C(Cl)(Cl)Cl)Cl,-73.0,4.2421,0.0
CCc1cc(C)cc(CC)c1,-74.0,3.1198200000000016,0.0
C=C(C)CC(C)C,-124.0,2.608600000000001,0.0
C/C(C)=C(/C)CCC,-115.0,3.142800000000002,0.0
CC(C)C(C)(C)C(C)C,-102.0,3.324600000000002,0.0
CCC=1CCCCC=1,-110.0,2.8968000000000016,0.0
C1CC1CCl,-91.0,1.6352,0.0
CC1CCCC1CC,-105.9,2.832600000000001,0.0
CC(C)C1CC1,-113.0,2.0524,0.0
CC(C)CC#CC,-93.0,2.0558,0.0
CCC1CCC1,-143.0,2.1965000000000003,0.0
CCC/C=CC,-141.0,2.3626000000000005,0.0
CC(=O)OCCOC,-65.0,0.19589999999999996,35.53
CCc1cccnc1,-77.0,1.644,12.89
C1CCCS1,-96.0,1.5134,0.0
BrCCl,-88.0,1.5776,0.0
CC1CO1,-112.0,0.4051,12.53
CC(=C)C=C,-146.0,1.7485,0.0
CC(=O)OC(C)CC,-99.0,1.3479999999999999,26.3
CCCCCCC(=O)OCC,-66.0,2.5199000000000007,26.3
CCCC#N,-112.0,1.31008,23.79
CCSCC,-104.0,1.7593999999999999,0.0
CCSC,-106.0,1.3693,0.0
CCCCC#C,-132.0,1.8098,0.0
CCCCC#CCC,-104.0,2.5900000000000007,0.0
CCc1cnc(C)cc1,-71.0,1.9524199999999998,12.89
CCc1ccccc1Br,-68.0,3.0115000000000016,0.0
COc5ccc(CCN1CCC(CC1)Nc3nc2ccccc2n3Cc4ccc(F)cc4)cc5,149.0,5.351300000000005,42.32
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,186.0,3.4011000000000013,54.370000000000005
CCc1ccccc1,-95.0,2.2490000000000006,0.0
CCCCCl,-123.0,2.0253,0.0
C1C=CCC1,-135.0,1.7265,0.0
CCCCc1ccccc1,-88.0,3.0292000000000012,0.0
OCCOC,-85.0,-0.3749,29.46
O=C1C=C(C)CC(C)(C)C1,-8.0,2.3218000000000005,17.07
C(CBr)Br,10.0,1.7762,0.0
CCCCCCCCCCCCCCC=C,4.0,6.2636000000000065,0.0
CCCCCCCCCCCCCCC,9.9,6.097500000000006,0.0
CC(C)OC(=O)/C=C/C(=O)OC(C)C,2.0,1.4458,52.60000000000001
CCc1ccccn1,-63.0,1.644,12.89
C(CCl)CBr,-59.0,2.0102,0.0
COC(=O)C(Cl)Cl,-52.0,0.9630999999999998,26.3
CC(c1ccccc1)c2ccccc2,-18.0,3.8384000000000027,0.0
Cc1cc(C)ccc1CC,-63.0,2.8658400000000013,0.0
CCC(CC)(CC)CC,-33.0,3.6128000000000027,0.0
C=Cc1ccccc1Cl,-63.0,2.9830000000000014,0.0
CCCCCCCCCS,-20.0,3.6668000000000034,0.0
CCCCCCCCC(C)C,-49.0,4.393000000000004,0.0
ClS(Cl)(=O)=O,-54.0,0.7088,34.14
c1cc(cnc1)CN,-21.0,0.5403,38.91
COC(=O)CCl,-32.0,0.3981999999999999,26.3
CC(=O)OCCc1ccccc1,-31.0,1.7922,26.3
CC(C)c1cccc(c1)C(C)C,-63.0,3.9334000000000033,0.0
Cc1cccnc1,-18.0,1.39002,12.89
CCCCCCCCCCCCCCCC,18.0,6.487600000000007,0.0
C1CC[C@@H]2CCCC[C@@H]2C1,-43.0,3.3668000000000022,0.0
O=C(OC)CC(=O)OC,-62.0,-0.2775000000000001,52.60000000000001
CCc1ccc2ccccc2c1,-7.35,3.4022000000000014,0.0
C1(CC1)C,-177.16,1.4163,0.0
c1cc(cc(c1)S(=O)(=O)Cl)[N+](=O)[O-],61.0,1.5223,77.28
CCc1ccc(cc1)CC,-43.0,2.811400000000001,0.0
CC(Cl)(F)F,-131.0,1.8379,0.0
O=C=S,-139.0,0.2511,17.07
CC1CC=CC1,-161.0,1.9725,0.0
CC1(CC)CCCC1,-144.0,2.976700000000002,0.0
CCC1CC1,-149.0,1.8064,0.0
CC1(CC)CC1,-130.0,2.1965000000000003,0.0
CC1CC1(C)C,-138.0,2.0524,0.0
C=CC=C/C,-141.0,1.7485,0.0
Clc1ccc2N=C(C[N+]([O-])=C(c2c1)c3ccccc3)NC,236.0,2.9507000000000003,50.46
CCS,-148.0,0.9360999999999999,0.0
C=CC,-185.0,1.1923,0.0
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,306.0,9.8876,0.0
CN1CCN(C1=O)C,8.0,-0.01639999999999997,23.55
CCCCCCCCCCCCCCCCCCBr,28.0,7.642800000000007,0.0
Cc1cccc(c1)I,-27.0,2.5996200000000007,0.0
C1CCN(CC1)C=O,-31.0,0.6287,20.310000000000002
Cc1cccc(C)c1CC,-16.0,2.8658400000000013,0.0
