,Model,Extra,Mode,Extra ratio
0,QCL,0.00012615006651128742,linear,0.1
1,GPR,2.746153526195237e-06,linear,0.1
2,DNN,0.00018131947119133128,linear,0.1
3,QCL,5.4494358220358565e-05,linear,0.3
4,GPR,0.0001100691387940162,linear,0.3
5,DNN,0.00036140152619621433,linear,0.3
6,QCL,0.00033612271635362546,linear,0.5
7,GPR,0.0027773014672221054,linear,0.5
8,DNN,0.0009925183559268192,linear,0.5
9,QCL,0.00023337568237951189,linear,0.7
10,GPR,0.03089451915130965,linear,0.7
11,DNN,0.00239166471676255,linear,0.7
12,QCL,0.00017847909661233656,linear,0.9
13,GPR,0.0804816093764547,linear,0.9
14,DNN,0.003383892906867625,linear,0.9
15,QCL,1.3103467211343227e-05,exp,0.1
16,GPR,4.470537850723365e-05,exp,0.1
17,DNN,0.00032212003358345976,exp,0.1
18,QCL,3.547801784463689e-06,exp,0.3
19,GPR,0.001852730879830099,exp,0.3
20,DNN,0.009812558477120783,exp,0.3
21,QCL,1.513637642140183e-05,exp,0.5
22,GPR,0.005441982253370326,exp,0.5
23,DNN,0.03980603098167235,exp,0.5
24,QCL,1.285619288989723e-05,exp,0.7
25,GPR,0.015852711322542696,exp,0.7
26,DNN,0.048885866445222456,exp,0.7
27,QCL,1.85897874000728e-05,exp,0.9
28,GPR,0.06262725732240726,exp,0.9
29,DNN,0.12065111750567388,exp,0.9
30,QCL,0.00046339360841363305,sin1/2,0.1
31,GPR,4.679660860683386e-06,sin1/2,0.1
32,DNN,0.002289236229944295,sin1/2,0.1
33,QCL,8.598964981633741e-05,sin1/2,0.3
34,GPR,0.000697405205404155,sin1/2,0.3
35,DNN,0.000810195612452709,sin1/2,0.3
36,QCL,3.893098318943726e-05,sin1/2,0.5
37,GPR,0.00044227254524389665,sin1/2,0.5
38,DNN,0.012099490710378642,sin1/2,0.5
39,QCL,3.113851833674513e-05,sin1/2,0.7
40,GPR,0.009368330767608074,sin1/2,0.7
41,DNN,0.0935009924108169,sin1/2,0.7
42,QCL,6.948239543634857e-05,sin1/2,0.9
43,GPR,1.26429035491118,sin1/2,0.9
44,DNN,0.30655291317048183,sin1/2,0.9
45,QCL,0.09316739855530817,sin,0.1
46,GPR,6.061519491432173e-07,sin,0.1
47,DNN,0.02066826050946955,sin,0.1
48,QCL,0.675275216457431,sin,0.3
